"profitid","ItemID","BookieID","bookiename","BetOutcomeID","BetOutcome","BettingTypeID","bettingtype","Outcome","stake","Odds","commission","liability","return","profit" 
"7967346","17692115","32","Coral","0","","1","Back","Hungary","20.0000","6.5","0","0.0000","110.0000","15.9200" 
"7967346","17692116","100","Smarkets","0","","2","Lay","Hungary","16.2200","6.8","2","94.0800","15.9000","15.9000" 
"7967454","17692346","45","Skybet","0","","1","Back","North Macedonia","5.0000","2.4","0","0.0000","7.0000","-0.3300" 
"7967454","17692347","100","Smarkets","0","","2","Lay","North Macedonia","4.7600","2.54","2","7.3300","4.6600","-0.3400" 
"7975857","17709999","45","Skybet","0","","1","Back","1-2","20.0000","11","0","0.0000","200.0000","15.0800" 
"7975857","17710000","100","Smarkets","0","","2","Lay","1-2","15.4100","13","2","184.9200","15.1000","15.1000" 
"7979780","17718327","2","William Hill","0","","1","Back","Levante","10.0000","1.85","0","0.0000","8.5000","-0.3600" 
"7979780","17718328","100","Smarkets","0","","2","Lay","Levante","9.8400","1.9","2","8.8600","9.6400","-0.3600" 
"7979843","17718474","2","William Hill","0","","1","Back","Buster Valentine","30.0000","6","0","0.0000","150.0000","22.3200" 
"7979843","17718475","100","Smarkets","0","","2","Lay","Buster Valentine","22.8000","6.6","2","127.6800","22.3400","22.3400" 
"7987409","17733575","99","BetWay","0","","1","Back","Levante","30.0000","1.87","0","0.0000","26.1000","-1.0700" 
"7987409","17733576","100","Smarkets","0","","2","Lay","Levante","29.5300","1.92","2","27.1700","28.9400","-1.0600" 
"7998004","17754995","99","BetWay","0","","1","Back","Draw","30.0000","4.2","0","0.0000","96.0000","21.4700" 
"7998004","17754996","100","Smarkets","0","","2","Lay","Draw","21.9200","4.4","2","74.5300","21.4800","21.4800" 
"8018379","17802309","4","Betfred","0","","1","Back","1-1","30.0000","6.5","0","0.0000","165.0000","21.3200" 
"8018379","17802310","100","Smarkets","0","","2","Lay","1-1","21.7700","7.6","2","143.6800","21.3300","21.3300" 
"8046855","17863660","4","Betfred","0","","1","Back","Dortmund","5.0000","6","0","0.0000","25.0000","3.8300" 
"8046855","17863661","100","Smarkets","0","","2","Lay","Dortmund","3.9200","6.4","2","21.1700","3.8400","3.8400" 
"8047234","17864384","57","Totesport","0","","1","Back","Draw","25.0000","3.6","0","0.0000","65.0000","-0.6900" 
"8047234","17864385","100","Smarkets","0","","2","Lay","Draw","24.7900","3.65","2","65.6900","24.2900","-0.7100" 
"8047977","17865787","6","Paddy Power","0","","1","Back","Draw","10.0000","3.1","0","0.0000","21.0000","-0.6000" 
"8047977","17865788","100","Smarkets","0","","2","Lay","Draw","9.6000","3.25","2","21.6000","9.4100","-0.5900" 
"8051114","17890426","57","Totesport","0","","1","Back","","0.0000","0","0","0.0000","0.0000","0.0000" 
"8058856","17890407","57","Totesport","0","","1","Back","Draw","25.0000","5","0","0.0000","100.0000","19.2700" 
"8058856","17890408","100","Smarkets","0","","2","Lay","Draw","19.6900","5.1","2","80.7300","19.3000","19.3000" 
"8059343","17891347","3","Ladbrokes","0","","1","Back","Ajax","10.0000","1.85","0","0.0000","8.5000","-0.5600" 
"8059343","17891348","100","Smarkets","0","","2","Lay","Ajax","9.6400","1.94","2","9.0600","9.4500","-0.5500" 
"8059469","17891592","3","Ladbrokes","0","","1","Back","1-1","30.0000","6.5","0","0.0000","165.0000","20.7700" 
"8059469","17891593","100","Smarkets","0","","2","Lay","1-1","21.2100","7.8","2","144.2300","20.7900","20.7900" 
"8082113","17941587","6","Paddy Power","0","","1","Back","2-0","30.0000","6.5","0","0.0000","165.0000","21.9000" 
"8082113","17941588","100","Smarkets","0","","2","Lay","2-0","22.3600","7.4","2","143.1000","21.9100","21.9100" 
